movie_id;title;genres;avg_rating;num_votes;budget;revenue;release_date;original_language;popularity;keywords
tt0034492;Bambi;Adventure,Animation,Drama;7.3;156885;858000.0;267447150.0;1942-02-11;en;48.13;loss of loved one,forest,coming of age,best friend,cartoon rabbit,forest fire,fawn,cartoon deer
tt0034583;Casablanca;Drama,Romance,War;8.5;616931;878000.0;10462500.0;1943-01-15;en;42.609;corruption,nazi,escape,love triangle,resistance,spy,patriotism,casablanca, morocco,vichy regime,visa,nationalism,world war ii,morocco,film noir,war
tt0035423;Kate & Leopold;Comedy,Fantasy,Romance;6.4;90461;48000000.0;76019048.0;2001-12-25;en;15.462;new york city,time travel,duke,fish out of water,falling in love,scientist,dog,apartment building,tv commercial,brooklyn bridge,ex-boyfriend ex-girlfriend relationship,uncle nephew relationship,advertising executive,broken elevator,jumping off a bridge,gentleman,advertising agency,mental hospital,time portal,stage actor,brother sister relationship,2000s,1870s,time deadline,propriety,marry for money,time leap,big sister little brother,scientific theory
tt0036342;Shadow of a Doubt;Film-Noir,Thriller;7.8;71785;0.0;0.0;1943-01-15;en;18.987;small town,california,library,widow,bank,detective,telegram,housewife,film noir,incest overtones,murder,fugitive,teenage girl,black and white,murderer,police detective,privacy,visit,gender roles,brother sister ,wealthy widow,precocious child,misogynist,americana,uncle niece relationship,money in the bank,murder suspect,northern california,conflicting worldviews,bluebeard
tt0036613;Arsenic and Old Lace;Comedy,Crime,Thriller;7.9;75944;1120175.0;0.0;1944-09-01;en;12.058;poison,cemetery,insanity,cellar,marriage,halloween,murder,serial killer,writer,corpse,critic
tt0036775;Double Indemnity;Crime,Drama,Film-Noir;8.3;170565;927262.0;2500000.0;1944-07-06;en;13.361;insurance fraud,femme fatale,film noir,murder,life insurance,black and white,insurance agent,insurance policy,duplicity,murder plot,scheming wife
tt0036868;The Best Years of Our Lives;Drama,Romance,War;8.1;72162;2100000.0;23650000.0;1946-12-25;en;13.839;post-traumatic stress disorder (ptsd),war veteran,world war ii,bodily disabled person,rehabilitation,black and white,romantic
tt0037008;Laura;Drama,Film-Noir,Mystery;7.9;52603;1020000.0;2000000.0;1944-10-11;en;17.287;jealousy,obsession,advertising expert,shotgun,detective,investigation,mistaken identity,romance,film noir,murder,whodunit,black and white,investigator,intrigue,portrait,police investigation,mysterious,murder mystery,murder suspect,1940s,other woman,suspense
tt0038109;Spellbound;Film-Noir,Mystery,Romance;7.5;53323;1500000.0;7000000.0;1945-11-08;en;17.626;amnesia,sigmund freud,black and white,psychiatrist,dream sequence,freud,freudian
tt0038355;The Big Sleep;Crime,Film-Noir,Mystery;7.9;91919;250000.0;10682000.0;1946-08-23;en;14.071;based on novel or book,gambling,poison,blackmail,detective,drug addiction,sister,film noir,murder,private investigator,whodunit,los angeles, california,private detective,book store,missing person,prank telephone call,wealthy family
