people_id;name;popularity;imdb_id;gender
66987;Fritz Kiersch;0.819;nm0452607;2
18378;Herbert Ross;2.119;nm0006889;2
64195;Joseph Zito;1.556;nm0957263;2
4600;Joe Dante;5.026;nm0001102;2
608;Hayao Miyazaki;22.89;nm0594503;2
8965;Roland Joffé;2.638;nm0423646;2
8246;Barry Levinson;3.667;nm0001469;2
5140;Wes Craven;18.609;nm0000127;2
28898;Michael Radford;2.653;nm0705535;2
2303;Wim Wenders;13.407;nm0000694;2
28904;Hugh Wilson;0.848;nm0933505;2
67897;Jeff Kanew;1.249;nm0437596;2
24;Robert Zemeckis;16.39;nm0000709;2
11505;John Hughes;7.493;nm0000455;2
6159;Ron Howard;20.003;nm0000165;2
1749;Leonard Nimoy;15.327;nm0000559;2
2710;James Cameron;27.102;nm0000116;2
3026;Rob Reiner;17.669;nm0001661;2
87565;Savage Steve Holland;4.026;nm0390822;2
21217;Jonathan Lynn;3.01;nm0528718;2
67753;Mark L. Lester;4.195;nm0504495;2
12964;Michael Ritchie;3.353;nm0006916;2
64796;Tom Holland;3.189;nm0276169;2
57433;George Ogilvie;3.347;nm0644695;2
62020;Jack Sholder;3.91;nm0794791;2
510;Tim Burton;33.161;nm0000318;2
41720;Jerry Paris;5.617;nm0661577;2
16566;George P. Cosmatos;2.806;nm0181902;2
27991;Stuart Gordon;3.117;nm0002340;2
5045;Dan O'Bannon;8.929;nm0639321;2
8844;Lawrence Kasdan;6.665;nm0001410;2
64877;Rod Daniel;2.653;nm0199722;2
2690;Peter Weir;7.704;nm0001837;2
58453;Peter Faiman;1.111;nm0265363;2
40345;Don Bluth;3.79;nm0089940;2
4429;Jim Jarmusch;8.385;nm0000464;2
63550;Tom McLoughlin;3.414;nm0572951;2
15810;Ron Clements;7.336;nm0166256;2
61677;Burny Mattinson;7.76;nm0560329;2
61678;David Michener;1.777;nm0585150;2
15811;John Musker;5.372;nm0615780;2
52968;Russell Mulcahy;2.327;nm0611683;2
57895;Robert Harmon;2.481;nm0363553;2
44847;David Anspaugh;1.732;nm0000770;2
686;Willard Huyck;2.048;nm0404754;2
93406;Elem Klimov;2.783;nm0459552;2
638;Michael Mann;11.147;nm0000520;2
24318;Richard Benjamin;7.312;nm0000907;2
2352;Jean-Jacques Annaud;1.803;nm0000269;2
1152;Oliver Stone;9.057;nm0000231;2
26502;Howard Deutch;4.073;nm0222043;2
893;Tony Scott;6.447;nm0001716;2
57594;John Cornell;1.259;nm0180257;2
10965;Chris Columbus;9.05;nm0001060;2
70250;Newt Arnold;1.576;nm0036582;2
716;Emile Ardolino;1.823;nm0001915;2
31211;Clive Barker;3.809;nm0000850;2
15663;Joseph Sargent;3.814;nm0765121;2
5572;Joel Schumacher;7.417;nm0001708;2
26713;Chuck Russell;6.593;nm0751080;2
33008;Menahem Golan;1.143;nm0324875;2
1201;Garry Marshall;5.888;nm0005190;2
1090;John McTiernan;5.716;nm0001532;2
10491;Paul Verhoeven;5.769;nm0000682;2
12988;Paul Michael Glaser;8.364;nm0001274;2
64508;Sidney J. Furie;1.606;nm0002089;2
185;Katsuhiro Otomo;7.897;nm0960028;2
14911;Penny Marshall;7.349;nm0001508;1
4037;Ron Shelton;2.615;nm0005421;2
21370;Roger Donaldson;5.818;nm0002044;2
3224;Stephen Frears;4.875;nm0001241;2
66226;Buddy Van Horn;3.373;nm0887174;2
8929;Charles Crichton;3.255;nm0187769;2
59;Luc Besson;13.821;nm0000108;2
56998;Dwight H. Little;3.09;nm0514546;2
52194;Tony Randel;3.953;nm0709752;2
628;Isao Takahata;8.61;nm0847223;2
16938;Renny Harlin;7.183;nm0001317;2
65314;Giuseppe Tornatore;3.9;nm0868153;2
71792;George Scribner;0.193;nm0780117;2
16589;Peter MacDonald;2.26;nm0003423;2
56828;Christopher Cain;2.636;nm0128883;2
18356;Stephen Herek;2.185;nm0378893;2
11401;John Woo;14.248;nm0000247;2
5281;Spike Lee;8.324;nm0000490;2
5696;Bruce Beresford;1.773;nm0000915;2
23968;Phil Alden Robinson;3.326;nm0004675;2
9181;Edward Zwick;6.24;nm0001880;2
7145;Michael Lehmann;3.857;nm0499724;2
4945;Joe Johnston;5.706;nm0002653;2
64681;Mark DiSalle;3.149;nm0228262;2
22012;David Worth;3.473;nm0941671;2
12920;David S. Ward;4.49;nm0911486;2
53334;Jim Sheridan;1.659;nm0006487;2
34682;Jeremiah S. Chechik;1.825;nm0154819;2
2042;Stephen Hopkins;6.483;nm0394280;2
56263;Mary Lambert;2.518;nm0005116;1
63943;Rowdy Herrington;2.617;nm0380705;2
11649;Cameron Crowe;8.97;nm0001081;2
133259;Arthur Hiller;2.116;nm0002137;2
1748;William Shatner;19.704;nm0000638;2
58728;Andrei Konchalovsky;5.156;nm0464846;2
1724;Roger Spottiswoode;3.788;nm0006854;2
518;Danny DeVito;30.086;nm0000362;2
1884;Steven Soderbergh;8.414;nm0001752;2
664;Frank Marshall;2.386;nm0550881;2
65678;John Lafia;2.52;nm0480843;2
10367;John Waters;13.883;nm0000691;2
1269;Kevin Costner;61.709;nm0000126;2
6449;Warren Beatty;11.476;nm0000886;2
18308;Steve Barron;1.94;nm0006625;2
33485;Ron Underwood;2.209;nm0881038;2
5174;Barry Sonnenfeld;6.131;nm0001756;2
62047;Gary Trousdale;2.229;nm0873779;2
62048;Kirk Wise;2.906;nm0936374;2
18357;Peter Hewitt;2.165;nm0382072;2
6482;John Singleton;5.065;nm0005436;2
2419;Jean-Pierre Jeunet;3.609;nm0000466;2
13680;Marc Caro;2.297;nm0001988;2
1126;Krzysztof Kieślowski;3.301;nm0001425;2
56106;Charles Shyer;2.373;nm0796124;2
56891;Rachel Talalay;4.322;nm0003080;1
18250;Jon Avnet;3.853;nm0000816;2
34611;Howard Zieff;1.576;nm0956052;2
5216;Gus Van Sant;7.699;nm0001814;2
14392;Kathryn Bigelow;9.325;nm0000941;1
8300;Kevin Reynolds;4.144;nm0721817;2
16294;Jonathan Demme;6.646;nm0001129;2
52629;Joseph Ruben;1.751;nm0747849;2
59649;Michael Pressman;1.268;nm0696309;2
7467;David Fincher;14.327;nm0000399;2
13581;Brian Levant;3.325;nm0505152;2
8843;Mick Jackson;1.985;nm0413875;2
108;Peter Jackson;19.354;nm0001392;2
64170;Fran Rubel Kuzui;1.246;nm0476900;1
57851;Bernard Rose;2.481;nm0741262;2
17016;Neil Jordan;2.087;nm0001403;2
15890;James Foley;3.431;nm0001226;2
323;Curtis Hanson;2.885;nm0000436;2
2294;Robert Rodriguez;17.007;nm0001675;2
65298;Brian Henson;4.795;nm0005008;2
40230;Kevin Hooks;4.026;nm0393661;2
13015;Phillip Noyce;7.73;nm0637518;2
138;Quentin Tarantino;45.824;nm0000233;2
12989;Andrew Davis;2.607;nm0001112;2
6046;Roland Emmerich;7.651;nm0000386;2
58448;Penelope Spheeris;1.291;nm0790715;1
34934;Bruce Timm;8.33;nm0863622;2
35270;Eric Radomski;3.265;nm0705779;2
380;Robert De Niro;58.398;nm0000134;2
12962;Jon Turteltaub;2.785;nm0005509;2
564;Richard Linklater;6.551;nm0000500;2
58838;Marco Brambilla;2.052;nm0104193;2
14692;Nick Castle;7.528;nm0145309;2
18254;Simon Wincer;2.639;nm0934578;2
18281;Donald Petrie;6.86;nm0677953;2
65310;Kenny Ortega;7.144;nm0650905;2
6592;Duwayne Dunham;1.788;nm0242271;2
58498;Dominic Sena;3.356;nm0784061;2
11447;Albert Hughes;4.316;nm0400436;2
11448;Allen Hughes;4.913;nm0400441;2
11181;Kenneth Branagh;26.969;nm0000110;2
56953;Gene Quintano;1.595;nm0704164;2
57646;Henry Selick;5.253;nm0783139;2
10757;Jane Campion;5.388;nm0001005;1
54441;James Ivory;2.675;nm0412465;2
44056;Fred Dekker;4.339;nm0215269;2
69741;David Mickey Evans;2.983;nm0262693;2
1103;Bill Duke;12.238;nm0004886;2
9248;Nora Ephron;2.695;nm0001188;1
58165;Rocky Morton;0.916;nm0608084;2
58164;Annabel Jankel;1.456;nm0417708;1
30365;Michael Caton-Jones;2.328;nm0001994;2
56155;Stephen Surjik;2.216;nm0839660;2
5306;Lasse Hallström;7.586;nm0002120;2
4499;Tom Shadyac;3.529;nm0001723;2
27889;Stephan Elliott;2.142;nm0254632;2
